name,value,year,lastValue,rank
04 Экономические вопросы,107946474.58,2003.8,106286436.66,185
09 Образование,117194727.86000001,2003.8,115130661.82000001,186
10 Социальная защита,156925236.87,2003.8,155458439.74,187
03 Общественный порядок и безопасность,295662609.60999995,2003.8,288838758.82,188
02 Оборона,327648243.28000003,2003.8,323089897.46000004,189
01 Государственные службы общего назначения,1273830317.9499998,2003.8,1263553944.8,190
05 Охрана окружающей среды,12659929.5,2003.9,12531307.25,191
"08 Отдых, культура и религия",27898091.5,2003.9,27791409.64,192
07 Здравоохранение,49258032.50000001,2003.9,48279772.36000001,193
06 Жилищные и коммунальные услуги,86545194.89999999,2003.9,85066274.44,194
04 Экономические вопросы,109606512.5,2003.9,107946474.58,195
09 Образование,119258793.9,2003.9,117194727.86000001,196
10 Социальная защита,158392034.0,2003.9,156925236.87,197
03 Общественный порядок и безопасность,302486460.4,2003.9,295662609.60999995,198
02 Оборона,332206589.1,2003.9,327648243.28000003,199
01 Государственные службы общего назначения,1284106691.1,2003.9,1273830317.9499998,200
05 Охрана окружающей среды,11870018.7,2004.0,12659929.5,201
"08 Отдых, культура и религия",29926711.69,2004.0,27898091.5,202
07 Здравоохранение,53280731.31000001,2004.0,49258032.50000001,203
06 Жилищные и коммунальные услуги,78985316.07,2004.0,86545194.89999999,204
09 Образование,122833814.85000001,2004.0,119258793.9,205
04 Экономические вопросы,125193428.30000001,2004.0,109606512.5,206
10 Социальная защита,161662701.38,2004.0,158392034.0,207
03 Общественный порядок и безопасность,304701509.10999995,2004.0,302486460.4,208
02 Оборона,333238919.35,2004.0,332206589.1,209
01 Государственные службы общего назначения,1329803705.84,2004.0,1284106691.1,210
05 Охрана окружающей среды,11080107.9,2004.1,11870018.7,211
"08 Отдых, культура и религия",31955331.880000003,2004.1,29926711.69,212
07 Здравоохранение,57303430.120000005,2004.1,53280731.31000001,213
06 Жилищные и коммунальные услуги,71425437.24,2004.1,78985316.07,214
09 Образование,126408835.80000001,2004.1,122833814.85000001,215
04 Экономические вопросы,140780344.10000002,2004.1,125193428.30000001,216
10 Социальная защита,164933368.76,2004.1,161662701.38,217
03 Общественный порядок и безопасность,306916557.82,2004.1,304701509.10999995,218
02 Оборона,334271249.6,2004.1,333238919.35,219
01 Государственные службы общего назначения,1375500720.58,2004.1,1329803705.84,220
05 Охрана окружающей среды,10290197.1,2004.2,11080107.9,221
"08 Отдых, культура и религия",33983952.07000001,2004.2,31955331.880000003,222
07 Здравоохранение,61326128.93000001,2004.2,57303430.120000005,223
06 Жилищные и коммунальные услуги,63865558.40999999,2004.2,71425437.24,224
09 Образование,129983856.75,2004.2,126408835.80000001,225
04 Экономические вопросы,156367259.90000004,2004.2,140780344.10000002,226
10 Социальная защита,168204036.14000002,2004.2,164933368.76,227
03 Общественный порядок и безопасность,309131606.53,2004.2,306916557.82,228
02 Оборона,335303579.85,2004.2,334271249.6,229
01 Государственные службы общего назначения,1421197735.32,2004.2,1375500720.58,230
05 Охрана окружающей среды,9500286.3,2004.3,10290197.1,231
"08 Отдых, культура и религия",36012572.260000005,2004.3,33983952.07000001,232
06 Жилищные и коммунальные услуги,56305679.57999999,2004.3,63865558.40999999,233
07 Здравоохранение,65348827.74000001,2004.3,61326128.93000001,234
09 Образование,133558877.7,2004.3,129983856.75,235
10 Социальная защита,171474703.52,2004.3,168204036.14000002,236
04 Экономические вопросы,171954175.70000005,2004.3,156367259.90000004,237
03 Общественный порядок и безопасность,311346655.24,2004.3,309131606.53,238
02 Оборона,336335910.1,2004.3,335303579.85,239
01 Государственные службы общего назначения,1466894750.06,2004.3,1421197735.32,240
